id,name,category,材质,规格,cost,price,supplier
P01,闸阀Z41H,闸阀,碳钢,DN50 PN16,1200,1850,S01
P02,闸阀Z41H-16C,闸阀,碳钢,DN80 PN16,1650,2450,S01
P03,球阀Q41F,球阀,不锈钢,DN50 PN16,980,1520,S02
P04,球阀Q341F,球阀,碳钢,DN100 PN16,2100,3150,S04
P05,蝶阀D71X,蝶阀,铸铁,DN80 PN10,620,1080,S01
P06,蝶阀D371X,蝶阀,碳钢,DN150 PN16,1450,2280,S04
P07,止回阀H41W,止回阀,不锈钢,DN50 PN16,760,1260,S02
P08,止回阀H44H,止回阀,碳钢,DN100 PN16,1150,1780,S03
P09,安全阀A42Y,安全阀,碳钢,DN25 PN40,2500,3980,S03
P10,安全阀A41H,安全阀,碳钢,DN50 PN40,3200,4980,S03
P11,截止阀J41H,截止阀,碳钢,DN50 PN25,880,1380,S05
P12,截止阀J41W,截止阀,不锈钢,DN80 PN25,1750,2680,S02
P13,减压阀Y43X,减压阀,碳钢,DN50 PN16,1350,2080,S05
P14,减压阀Y42X,减压阀,铸铁,DN80 PN16,1650,2520,S05
P15,调节阀ZJHP,调节阀,不锈钢,DN50 PN40,4800,7200,S06
P16,调节阀ZJHM,调节阀,碳钢,DN80 PN40,5600,8350,S06
