product_id,date,qty,customer_id
P01,2026-04-03,8,C02
P01,2026-04-10,10,C03
P01,2026-04-17,7,C01
P01,2026-04-24,12,C02
P01,2026-05-01,9,C03
P01,2026-05-08,11,C01
P01,2026-05-15,8,C02
P01,2026-05-22,10,C03
P01,2026-05-29,12,C01
P01,2026-06-05,9,C02
P01,2026-06-12,11,C03
P01,2026-06-19,10,C01
P01,2026-06-26,13,C02
P02,2026-04-03,5,C04
P02,2026-04-17,6,C01
P02,2026-05-01,7,C04
P02,2026-05-15,5,C01
P02,2026-05-29,8,C04
P02,2026-06-12,6,C01
P02,2026-06-26,7,C04
P03,2026-04-03,4,C05
P03,2026-04-10,5,C02
P03,2026-04-24,6,C05
P03,2026-05-08,5,C02
P03,2026-05-22,7,C05
P03,2026-06-05,6,C02
P03,2026-06-19,8,C05
P03,2026-06-26,5,C02
P04,2026-04-03,3,C06
P04,2026-05-01,4,C03
P04,2026-05-29,5,C06
P04,2026-06-26,4,C03
P05,2026-04-10,6,C08
P05,2026-04-24,8,C06
P05,2026-05-08,7,C08
P05,2026-05-22,9,C06
P05,2026-06-05,8,C08
P05,2026-06-19,10,C06
P06,2026-04-03,2,C07
P06,2026-05-01,3,C03
P06,2026-05-29,2,C07
P06,2026-06-26,3,C03
P07,2026-04-10,3,C05
P07,2026-04-24,4,C02
P07,2026-05-08,3,C05
P07,2026-05-22,5,C02
P07,2026-06-05,4,C05
P07,2026-06-19,3,C02
P07,2026-06-26,5,C05
P08,2026-04-03,2,C07
P08,2026-05-01,3,C01
P08,2026-05-29,2,C07
P08,2026-06-26,3,C01
P09,2026-04-17,1,C03
P09,2026-05-15,2,C01
P09,2026-06-12,1,C03
P09,2026-06-26,2,C01
P10,2026-04-24,1,C07
P10,2026-05-22,1,C04
P10,2026-06-19,2,C07
P11,2026-04-03,5,C06
P11,2026-04-17,6,C04
P11,2026-05-01,7,C06
P11,2026-05-15,6,C04
P11,2026-05-29,5,C06
P11,2026-06-12,8,C04
P11,2026-06-26,7,C06
P12,2026-04-10,2,C05
P12,2026-04-24,3,C02
P12,2026-05-08,2,C05
P12,2026-05-22,4,C02
P12,2026-06-05,3,C05
P12,2026-06-19,2,C02
P12,2026-06-26,3,C05
P13,2026-04-03,2,C08
P13,2026-05-01,3,C06
P13,2026-05-29,2,C08
P13,2026-06-26,3,C06
P14,2026-04-17,3,C08
P14,2026-05-15,4,C05
P14,2026-06-12,3,C08
P14,2026-06-26,4,C05
P15,2026-04-24,1,C05
P15,2026-05-22,2,C03
P15,2026-06-19,1,C05
P16,2026-05-08,1,C08
P16,2026-06-05,1,C07
P16,2026-06-26,2,C08
